ticket_id,ticket_no,passenger_id,flight_id,seat,class,price_usd,booking_date,statuss
T0000001,TK4001,P001575,FL000001,48D,Economy,913,1/1/2024,Booked
T0000002,TK4002,P000024,FL000002,32E,Business,12504,1/2/2024,Booked
T0000003,TK4003,P000279,FL000003,9C,Economy,3355,1/3/2024,Booked
T0000004,TK4004,P000213,FL000004,5B,Economy,5547,1/4/2024,Checked-In
T0000005,TK4005,P002497,FL000005,17D,Premium Economy,7399,1/5/2024,Cancelled
T0000006,TK4006,P001929,FL000006,55D,Economy,5438,1/6/2024,Cancelled
T0000007,TK4007,P003976,FL000007,51E,Economy,4644,1/7/2024,Booked
T0000008,TK4008,P000083,FL000008,3E,Economy,4367,1/8/2024,Booked
T0000009,TK4009,P000628,FL000009,51A,Economy,1878,1/9/2024,Cancelled
T0000010,TK4010,P000029,FL000010,16A,Premium Economy,6382,1/10/2024,Booked
T0000011,TK4011,P000208,FL000011,39F,Economy,738,1/11/2024,Booked
T0000012,TK4012,P000826,FL000012,56F,Premium Economy,7366,1/12/2024,Checked-In
T0000013,TK4013,P000026,FL000013,21F,Economy,4172,1/13/2024,Booked
T0000014,TK4014,P000189,FL000014,24F,Business,9366,1/14/2024,Booked
T0000015,TK4015,P001674,FL000015,58A,Premium Economy,9183,1/15/2024,Booked
T0000016,TK4016,P000920,FL000016,13E,Economy,3516,1/16/2024,Booked
T0000017,TK4017,P000210,FL000017,51B,Economy,1211,1/17/2024,Cancelled
T0000018,TK4018,P001099,FL000018,30B,Economy,5325,1/18/2024,Booked
T0000019,TK4019,P003190,FL000019,49F,Economy,4099,1/19/2024,Booked
T0000020,TK4020,P000007,FL000020,13B,Economy,2282,1/20/2024,Booked
T0000021,TK4021,P003156,FL000021,44D,Economy,5099,1/21/2024,Cancelled
T0000022,TK4022,P002133,FL000022,15E,Premium Economy,1346,1/22/2024,Booked
T0000023,TK4023,P000434,FL000023,12D,Premium Economy,8362,1/23/2024,Booked
T0000024,TK4024,P000148,FL000024,20D,Economy,4892,1/24/2024,Booked
T0000025,TK4025,P004594,FL000025,44D,Economy,3149,1/25/2024,Checked-In
T0000026,TK4026,P000425,FL000026,58D,Economy,1137,1/26/2024,Checked-In
T0000027,TK4027,P000089,FL000027,31A,Premium Economy,10170,1/27/2024,Booked
