flight_id,airline_code,flight_no,origin_airport_id,destination_airport_id,departure_time,arrival_time,aircraft_type,statuss,pilot_id,co_pilot_id
FL000001,QF,QF75,AP0001,AP0018,5/4/2025 6:52,5/4/2025 22:23,Airbus A350-900,Completed,138,118
FL000002,TG,TG85,AP0002,AP0019,4/8/2025 16:53,4/8/2025 20:12,Airbus A350-900,Completed,117,132
FL000003,NH,NH144,AP0003,AP0020,2/6/2025 2:54,2/6/2025 5:06,Boeing 737-800,Completed,131,118
FL000004,SQ,SQ309,AP0004,AP0021,8/25/2025 2:58,8/25/2025 17:13,Airbus A350-900,Delayed,111,108
FL000005,AF,AF197,AP0005,AP0022,10/21/2025 15:25,10/22/2025 5:19,Boeing 737-800,Completed,123,108
FL000006,MH,MH145,AP0006,AP0023,8/10/2025 3:16,8/10/2025 10:10,Airbus A320,Completed,104,118
FL000007,CX,CX107,AP0007,AP0024,9/6/2025 11:59,9/6/2025 17:52,Airbus A320,Completed,133,108
FL000008,MH,MH100,AP0008,AP0025,2/15/2025 21:59,2/16/2025 1:46,Boeing 777-300ER,Completed,105,108
FL000009,JL,JL7212,AP0009,AP0026,1/13/2025 1:55,1/13/2025 4:19,Airbus A350-900,Delayed,115,118
FL000010,UA,UA74,AP0010,AP0027,11/15/2025 13:18,11/15/2025 17:32,Airbus A350-900,Completed,102,108
FL000011,TG,TG895,AP0011,AP0028,2/16/2025 21:56,2/16/2025 23:35,Boeing 777-300ER,Delayed,123,132
FL000012,QF,QF865,AP0012,AP0029,9/30/2025 22:52,10/1/2025 4:28,Boeing 787-9,Delayed,138,118
FL000013,EK,EK689,AP0013,AP0030,5/24/2025 11:48,5/25/2025 1:35,Airbus A350-900,Completed,138,118
FL000014,AF,AF93,AP0014,AP0031,5/21/2025 21:06,5/21/2025 22:58,Airbus A350-900,Completed,117,108
FL000015,MH,MH1990,AP0015,AP0032,12/21/2025 4:17,12/21/2025 18:38,Airbus A350-900,Completed,102,118
FL000016,SQ,SQ660,AP0016,AP0033,11/28/2025 19:47,11/29/2025 10:34,Airbus A320,Completed,113,108
FL000017,SQ,SQ5179,AP0017,AP0034,3/6/2025 1:58,3/6/2025 16:14,Boeing 777-300ER,Completed,102,108
FL000018,CX,CX781,AP0018,AP0035,2/6/2025 5:47,2/6/2025 17:38,Airbus A320,Completed,105,132
FL000019,UA,UA51,AP0019,AP0036,7/17/2025 23:42,7/18/2025 5:55,Airbus A350-900,Completed,123,118
FL000020,EK,EK55,AP0020,AP0037,9/15/2025 16:22,9/16/2025 6:38,Boeing 777-300ER,Completed,123,110
FL000021,QF,QF691,AP0021,AP0038,6/4/2025 15:15,6/5/2025 4:49,Boeing 787-9,Completed,101,118
FL000022,UA,UA8214,AP0022,AP0039,9/24/2025 16:39,9/24/2025 20:11,Boeing 787-9,Completed,115,132
FL000023,JL,JL808,AP0023,AP0040,10/11/2025 13:39,10/12/2025 3:39,Airbus A320,Completed,123,108
